Protein,Symbol,UniProtID,Log(AveExpr),P.Value,adj.P.Val,logFC,Peptide#,GO_CellCompID,GO_CellComp
D4A758_RAT,Lrrc8b,D4A758,21.0262,0.1083,0.1693,0.9215,,GO:0005783,endoplasmic reticulum
PRIO_RAT,Prnp,P13852,23.4880,0.1083,0.1693,1.0905,,GO:0005794,Golgi
E9PT51_RAT,Poldip2,E9PT51,21.2656,0.1086,0.1694,1.0668,,GO:0006974,Mitochondrion
S27A1_RAT,Slc27a1,P97849,24.0978,0.1089,0.1695,0.9683,,GO:0005783,endoplasmic reticulum
D4A833_RAT,Mrps30,D4A833,21.6014,0.1095,0.1700,0.9287,,GO:0005743,Mitochondrion
D3ZBM3_RAT,Fech,D3ZBM3,22.4466,0.1105,0.1710,1.0936,,GO:0009589,Mitochondrion
D4ABI7_RAT,Hacd3,D4ABI7,23.5278,0.1109,0.1712,1.2311,,GO:0005783,endoplasmic reticulum
KCC2D_RAT,Camk2d,P15791,20.6974,0.1111,0.1713,0.9976,,GO:0005737,Cytosol
ARHG2_RAT,Arhgef2,Q5FVC2,21.2332,0.1133,0.1743,1.0228,,GO:0005794,Golgi
KC1A_RAT,Csnk1a1,P97633,22.0410,0.1154,0.1771,0.8850,,GO:0005856,cytoskeleton
D4A644_RAT,Map7d1,D4A644,21.4896,0.1156,0.1771,0.9406,,GO:0005856,cytoskeleton
LAMP1_RAT,Lamp1,P14562,27.5392,0.1163,0.1778,0.8846,,GO:0044754,Lysosome
MPCP_RAT,Slc25a3,P16036,25.3734,0.1169,0.1785,0.8879,,GO:0016021,Mitochondrion
KIF2B_RAT,Kif2b,Q5XI51,19.7512,0.1173,0.1787,1.0748,,GO:0005856,cytoskeleton
CPSM_RAT,Cps1,P07756,20.6256,0.1184,0.1800,0.9826,,GO:0055081,Mitochondrion
SEM6B_RAT,Sema6b,O70141,20.5226,0.1190,0.1803,0.9402,,NA,NA
ENPL_RAT,Hsp90b1,Q66HD0,19.9395,0.1192,0.1803,0.8754,,GO:0005783,endoplasmic reticulum
D3ZMJ7_RAT,Wnk2,D3ZMJ7,21.5202,0.1193,0.1803,1.0485,,GO:0005737,Cytosol
E9PT53_RAT,Wfs1,E9PT53,24.8785,0.1196,0.1805,0.9135,,GO:0005783,endoplasmic reticulum
G3V8D0_RAT,St8sia3,G3V8D0,21.3505,0.1210,0.1822,0.9859,,GO:0005794,Golgi
TBB5_RAT,Tubb5,P69897,27.1315,0.1215,0.1826,0.8445,,GO:0005856,cytoskeleton
SYT5_RAT,Syt5,P47861,21.8311,0.1219,0.1828,0.9530,,GO:0005768,Endosome
GDN_RAT,Serpine2,P07092,24.5069,0.1230,0.1838,1.2067,,GO:0005829,Cytosol
D3ZH41_RAT,Ckap4,D3ZH41,25.5828,0.1233,0.1838,0.8466,,GO:0005856,cytoskeleton
GRIA3_RAT,Gria3,P19492,22.2912,0.1233,0.1838,0.8541,,GO:0030054,Axon
G3V728_RAT,Nipsnap1,G3V728,21.2657,0.1253,0.1865,0.8676,,GO:0016020,Mitochondrion
SYT7_RAT,Syt7,Q62747,21.6281,0.1258,0.1868,0.8662,,GO:0005764,Lysosome
STIM1_RAT,Stim1,P84903,22.0678,0.1264,0.1870,0.8455,,GO:0005856,cytoskeleton
SGPL1_RAT,Sgpl1,Q8CHN6,21.2576,0.1266,0.1870,0.8316,,GO:0005783,endoplasmic reticulum
Q99PS2_RAT,Csnk1e,Q99PS2,22.5194,0.1268,0.1870,0.8954,,GO:0005737,Cytosol
CNTN4_RAT,Cntn4,Q62845,21.0241,0.1268,0.1870,0.8270,,NA,NA
IDHP_RAT,Idh2,P56574,20.9332,0.1272,0.1873,1.1718,,GO:0005829,Mitochondrion
RPN1_RAT,Rpn1,P07153,26.3577,0.1280,0.1881,1.3202,,GO:0005783,endoplasmic reticulum
D4A6H8_RAT,Ctnna2,D4A6H8,22.7808,0.1286,0.1886,0.8182,,GO:0005856,cytoskeleton
TRIM3_RAT,Trim3,O70277,25.6921,0.1293,0.1893,0.8171,,GO:0005794,Golgi
KCC2G_RAT,Camk2g,P11730,22.0067,0.1299,0.1898,0.8488,,GO:0005737,Cytosol
D3ZYS7_RAT,G3bp1,D3ZYS7,21.6145,0.1318,0.1922,1.0007,,GO:0005737,Cytosol
GRIK5_RAT,Grik5,Q63273,19.9676,0.1326,0.1929,0.8080,,GO:0005783,endoplasmic reticulum
OST48_RAT,Ddost,Q641Y0,23.3080,0.1330,0.1933,0.8548,,GO:0005783,endoplasmic reticulum
MACOI_RAT,Maco1,Q4V7D3,19.7220,0.1335,0.1936,0.9178,,GO:0005783,endoplasmic reticulum
NPTX1_RAT,Nptx1,P47971,22.3199,0.1338,0.1936,0.8645,,GO:0005737,Cytosol
MGRN1_RAT,Mgrn1,Q5XIQ4,24.9024,0.1341,0.1937,0.8912,,GO:0005769,Endosome
ATPA_RAT,Atp5f1a,P15999,26.9462,0.1343,0.1937,0.8294,,GO:0009986,Mitochondrion
G3V765_RAT,Evpl,G3V765,20.3762,0.1350,0.1943,0.9602,,GO:0005856,cytoskeleton
A0A0G2KAE2_RAT,Tusc3,A0A0G2KAE2,22.7538,0.1363,0.1959,1.3413,,GO:0005783,endoplasmic reticulum
CNTN1_RAT,Cntn1,Q63198,25.8830,0.1368,0.1962,0.8006,,GO:0042552,Axon
MAP1A_RAT,Map1a,P34926,20.0335,0.1375,0.1966,0.8744,,GO:0005856,cytoskeleton
DPYL2_RAT,Dpysl2,P47942,20.6295,0.1376,0.1966,0.8815,,GO:0005856,cytoskeleton
MET_RAT,Met,P97523,24.0074,0.1380,0.1969,0.8007,,GO:0005737,Cytosol
G3V667_RAT,Itga6,G3V667,24.1854,0.1389,0.1974,0.7922,,GO:0007160,Axon
TCPG_RAT,Cct3,Q6P502,21.0266,0.1389,0.1974,1.2908,,GO:0005737,Cytosol
GRP75_RAT,Hspa9,P48721,24.2406,0.1411,0.2001,0.8447,,GO:0034620,Mitochondrion
G3V6K6_RAT,Egfr,G3V6K6,23.7121,0.1414,0.2001,0.7992,,GO:0005794,Golgi
F1MAS4_RAT,Celsr1,F1MAS4,20.8554,0.1416,0.2001,0.9266,,GO:0005654,Nucleus
F1LM47_RAT,Sucla2,F1LM47,20.5104,0.1418,0.2001,0.9902,,GO:0005739,Mitochondrion
GRIA2_RAT,Gria2,P19491,23.5871,0.1429,0.2011,0.7928,,GO:0005783,endoplasmic reticulum
ATPB_RAT,Atp5f1b,P10719,23.9533,0.1430,0.2011,0.8397,,GO:0001525,Mitochondrion
NOE2_RAT,Olfm2,Q568Y7,21.9634,0.1444,0.2027,1.0198,,GO:0005737,Cytosol
MEST_RAT,Mest,Q6P5P5,23.4263,0.1452,0.2035,0.7926,,GO:0005783,endoplasmic reticulum
RL27A_RAT,Rpl27a,P18445,22.1896,0.1458,0.2036,0.7826,,GO:0005783,endoplasmic reticulum
GNA13_RAT,Gna13,Q6Q7Y5,20.9299,0.1458,0.2036,0.8432,,GO:0005737,Cytosol
D3ZT36_RAT,Adam23,D3ZT36,21.4827,0.1465,0.2041,1.0103,,GO:0016020,membrane
SYPH_RAT,Syp,P07825,22.0689,0.1471,0.2046,1.0764,,GO:0005737,Cytosol
NPTXR_RAT,Nptxr,O35764,24.4679,0.1478,0.2049,0.7709,,GO:0005737,Cytosol
AGRL1_RAT,Adgrl1,O88917,24.8083,0.1480,0.2049,0.7782,,NA,NA
D3ZFT1_RAT,Rfc1,D3ZFT1,20.3461,0.1480,0.2049,0.8495,,GO:0005737,Cytosol
THIL_RAT,Acat1,P17764,20.7581,0.1493,0.2063,0.8334,,GO:0006635,Mitochondrion
A0A0G2JXE0_RAT,LOC102549061,A0A0G2JXE0,21.3885,0.1497,0.2065,0.8999,,GO:0005829,Cytosol
NFL_RAT,Nefl,P19527,20.5449,0.1500,0.2065,0.7752,,GO:0005856,cytoskeleton
ERBB4_RAT,Erbb4,Q62956,19.9463,0.1503,0.2066,0.9534,,GO:0009925,Mitochondrion
D3ZRH1_RAT,Oxa1l,D3ZRH1,21.2459,0.1512,0.2072,0.8342,,GO:0009060,Mitochondrion
DDX1_RAT,Ddx1,Q641Y8,24.4497,0.1514,0.2072,0.7886,,GO:0005737,Cytosol
AT12A_RAT,Atp12a,P54708,20.1880,0.1516,0.2072,0.8722,,GO:0005829,Cytosol
PGAP1_RAT,Pgap1,Q765A7,26.1612,0.1528,0.2085,0.7759,,GO:0005783,endoplasmic reticulum
VKGC_RAT,Ggcx,O88496,22.3109,0.1537,0.2094,0.8006,,GO:0005783,endoplasmic reticulum
RL35_RAT,Rpl35,P17078,22.6827,0.1569,0.2133,0.8043,,GO:0005840,ribosome
TEN2_RAT,Tenm2,Q9R1K2,26.5037,0.1581,0.2140,0.7647,,GO:0005794,Golgi
F1M3J7_RAT,Cntnap4,F1M3J7,25.2796,0.1584,0.2140,0.8576,,GO:0045202,synapse
F7F3I7_RAT,Sema4a,F7F3I7,20.3682,0.1584,0.2140,0.8947,,NA,NA
S6A11_RAT,Slc6a11,P31647,22.8871,0.1585,0.2140,0.7987,,GO:0005737,Cytosol
H33_RAT,H3-3b,P84245,22.0529,0.1603,0.2161,0.7956,,GO:0005634,Nucleus
F1LZ38_RAT,Tenm4,F1LZ38,24.8167,0.1607,0.2163,0.8912,,GO:0005737,Cytosol
F1LVL5_RAT,Shroom4,F1LVL5,21.6404,0.1627,0.2185,0.7531,,GO:0005856,cytoskeleton
D3ZPN0_RAT,Pcdh17,D3ZPN0,23.6964,0.1631,0.2185,0.9190,,GO:0099055,Axon
F1LXC7_RAT,LOC100362814,F1LXC7,23.0246,0.1632,0.2185,0.7480,,NA,NA
NTRK3_RAT,Ntrk3,Q03351,22.1951,0.1667,0.2225,0.7678,,GO:0005737,Cytosol
PGFRA_RAT,Pdgfra,P20786,19.6357,0.1667,0.2225,0.9047,,GO:0005794,Golgi
A0A0G2K8K0_RAT,Sfpq,A0A0G2K8K0,24.5916,0.1670,0.2225,0.7696,,GO:0005737,Cytosol
G3V7D4_RAT,Efnb3,G3V7D4,21.7053,0.1694,0.2253,0.7321,,GO:0005886,Axon
D3ZQ57_RAT,Plxnb2,D3ZQ57,20.3349,0.1699,0.2256,0.7689,,GO:0016020,membrane
NICA_RAT,Ncstn,Q8CGU6,23.5532,0.1704,0.2259,0.7430,,GO:0030534,Mitochondrion
GNAI2_RAT,Gnai2,P04897,20.2853,0.1731,0.2290,0.8157,,GO:0005856,cytoskeleton
NUMBL_RAT,Numbl,A1L1I3,21.7445,0.1739,0.2298,0.7200,,GO:0005737,Cytosol
A0A0H2UHM7_RAT,LOC100909441,A0A0H2UHM7,21.3137,0.1759,0.2320,0.8694,,NA,NA
ADA10_RAT,Adam10,Q10743,21.9504,0.1765,0.2324,0.7552,,GO:0005794,Golgi
F1LMW0_RAT,Tmem130,F1LMW0,21.6058,0.1772,0.2329,0.7187,,GO:0005794,Golgi
GBRA1_RAT,Gabra1,P62813,21.7617,0.1775,0.2329,0.7526,,GO:0045211,Axon
PPAL_RAT,Acp2,P20611,24.9791,0.1787,0.2341,0.7421,,GO:0005764,Lysosome
A0A0G2K5L1_RAT,Fat1,A0A0G2K5L1,23.1870,0.1792,0.2343,0.7409,,GO:0048471,Cytosol
RL24_RAT,Rpl24,P83732,22.2424,0.1812,0.2362,0.7276,,GO:0005783,endoplasmic reticulum
D3ZYM4_RAT,Mst1r,D3ZYM4,20.9677,0.1812,0.2362,0.7667,,GO:0016020,Axon
M0R5D6_RAT,Rnf157,M0R5D6,20.4830,0.1827,0.2373,0.8818,,GO:0005769,Endosome
G3V881_RAT,Lingo1,G3V881,27.0710,0.1827,0.2373,0.7085,,GO:0031012,Axon
M0R6E0_RAT,Atp9a,M0R6E0,23.9530,0.1830,0.2373,0.7374,,GO:0005794,Golgi
L2GL1_RAT,Llgl1,Q8K4K5,21.4036,0.1834,0.2375,0.7678,,GO:0005794,Golgi
D3ZW19_RAT,Lingo3,D3ZW19,20.7416,0.1840,0.2378,0.7061,,GO:0016020,membrane
KC1G3_RAT,Csnk1g3,Q62763,22.1218,0.1885,0.2429,0.8876,,GO:0005737,Cytosol
K2C8_RAT,Krt8,Q10758,21.2588,0.1885,0.2429,0.8464,,GO:0005737,Cytosol
GRIA4_RAT,Gria4,P19493,20.8432,0.1897,0.2437,0.6987,,GO:0045202,synapse
D4A6G6_RAT,LOC100362339,D4A6G6,21.5225,0.1898,0.2437,0.9188,,NA,NA
SCPDL_RAT,Sccpdh,Q6AY30,21.4347,0.1904,0.2438,0.8557,,NA,NA
SO1C1_RAT,Slco1c1,Q9EPZ7,20.7792,0.1904,0.2438,0.8285,,GO:0016020,membrane
PODXL_RAT,Podxl,Q9WTQ2,20.8135,0.1920,0.2454,0.8170,,GO:0005737,Cytosol
EFTU_RAT,Tufm,P85834,21.3392,0.1932,0.2463,0.6898,,GO:0005743,Mitochondrion
LRFN2_RAT,Lrfn2,Q460M5,20.6570,0.1934,0.2463,0.6933,,GO:0050804,Axon
K2C4_RAT,Krt4,Q6IG00,20.2602,0.1947,0.2476,0.8543,,GO:0005737,Cytosol
NRP1_RAT,Nrp1,Q9QWJ9,24.0602,0.1974,0.2507,0.6781,,GO:0030154,Mitochondrion
D4A5X7_RAT,Gdap1,D4A5X7,22.0562,0.2020,0.2561,0.7584,,GO:0005737,Mitochondrion
D3ZUY8_RAT,Ap2a1,D3ZUY8,22.6271,0.2091,0.2642,0.7082,,GO:0016020,membrane
KIF5A_RAT,Kif5a,Q6QLM7,20.3450,0.2091,0.2642,0.6931,,GO:0005737,Cytosol
SE1L1_RAT,Sel1l,Q80Z70,21.0025,0.2101,0.2642,0.6782,,GO:0005783,endoplasmic reticulum
TBB2B_RAT,Tubb2b,Q3KRE8,24.9241,0.2103,0.2642,0.6811,,GO:0005856,cytoskeleton
SYGP1_RAT,Syngap1,Q9QUH6,22.2028,0.2104,0.2642,0.6556,,GO:0045202,synapse
RL11_RAT,Rpl11,P62914,24.0245,0.2108,0.2643,0.9364,,GO:0005737,Cytosol
TBB4B_RAT,Tubb4b,Q6P9T8,21.9755,0.2117,0.2647,0.7074,,GO:0005856,cytoskeleton
MPC2_RAT,Mpc2,P38718,23.1091,0.2119,0.2647,0.7793,,GO:0016604,Mitochondrion
A0A0G2K7P9_RAT,Ncam2,A0A0G2K7P9,25.0168,0.2129,0.2656,0.7362,,GO:0005634,Nucleus
MTAP2_RAT,Map2,P15146,24.5598,0.2150,0.2677,0.6687,,GO:0005856,cytoskeleton
ABD12_RAT,Abhd12,Q6AYT7,22.4387,0.2152,0.2677,0.6672,,GO:0005783,endoplasmic reticulum
Q5RK08_RAT,Nipsnap2,Q5RK08,21.1150,0.2183,0.2710,0.8237,,GO:0005737,Cytosol
SSRA_RAT,Ssr1,Q7TPJ0,21.7778,0.2196,0.2723,0.8123,,GO:0005783,endoplasmic reticulum
ECHA_RAT,Hadha,Q64428,24.9266,0.2218,0.2745,0.6471,,GO:0035965,Mitochondrion
AT2B4_RAT,Atp2b4,Q64542,20.6367,0.2222,0.2746,0.7440,,GO:0042995,Axon
NEO1_RAT,Neo1,P97603,23.7646,0.2233,0.2751,0.6435,,GO:0005794,Golgi
ACTC_RAT,Actc1,P68035,22.8297,0.2234,0.2751,0.7211,,GO:0005856,cytoskeleton
GNAO_RAT,Gnao1,P59215,21.9446,0.2247,0.2760,0.6505,,GO:0016020,membrane
PCDA4_RAT,Pcdha4,Q767I8,20.9438,0.2257,0.2766,0.6424,,GO:0005783,endoplasmic reticulum
PGCB_RAT,Bcan,P55068,20.6920,0.2259,0.2766,0.8291,,NA,NA
MAP1B_RAT,Map1b,P15205,23.0490,0.2271,0.2776,0.6363,,GO:0005856,cytoskeleton
GBRB2_RAT,Gabrb2,P63138,22.7665,0.2285,0.2786,0.6450,,GO:0005829,Cytosol
A0A0G2K1Q8_RAT,Abca3,A0A0G2K1Q8,20.5179,0.2286,0.2786,0.6452,,GO:0005764,Lysosome
LCAP_RAT,Lnpep,P97629,23.6256,0.2297,0.2795,0.6578,,GO:0005737,Cytosol
SYT1_RAT,Syt1,P21707,25.0028,0.2335,0.2831,0.6950,,GO:0005794,Golgi
CNR1_RAT,Cnr1,P20272,21.0539,0.2336,0.2831,0.7053,,GO:0005783,endoplasmic reticulum
NRP2_RAT,Nrp2,O35276,21.6270,0.2338,0.2831,0.6389,,GO:0005737,Cytosol
D3ZC81_RAT,Pex10,D3ZC81,20.5560,0.2341,0.2831,0.7338,,GO:0005777,Peroxisome
D4A567_RAT,Bub3,D4A567,23.2345,0.2367,0.2857,0.6550,,GO:0005654,Nucleus
FLOT1_RAT,Flot1,Q9Z1E1,20.4270,0.2372,0.2860,0.6593,,GO:0005769,Endosome
ENTP2_RAT,Entpd2,O35795,23.6854,0.2462,0.2962,0.6057,,GO:0030168,Axon
D3ZQM3_RAT,Itga3,D3ZQM3,20.6384,0.2465,0.2962,0.7694,,GO:0048471,Cytosol
CELR3_RAT,Celsr3,O88278,24.6434,0.2489,0.2987,0.6124,,GO:0007413,Axon
F1MAP4_RAT,Megf10,F1MAP4,21.2105,0.2501,0.2997,0.6164,,GO:0016020,membrane
NSDHL_RAT,Nsdhl,Q5PPL3,20.4935,0.2533,0.3030,0.6638,,GO:0005783,endoplasmic reticulum
GRIA1_RAT,Gria1,P19490,20.4810,0.2542,0.3036,0.7010,,GO:0005769,Endosome
D3ZSY8_RAT,Tbc1d10b,D3ZSY8,24.2456,0.2547,0.3038,0.5972,,GO:0005737,Cytosol
AGRG1_RAT,Adgrg1,Q8K3V3,25.5217,0.2566,0.3053,0.5910,,GO:0016020,membrane
Q32KJ5_RAT,Gns,Q32KJ5,24.3449,0.2567,0.3053,0.6010,,GO:0005764,Lysosome
AP2M1_RAT,Ap2m1,P84092,22.6219,0.2590,0.3075,0.6358,,NA,NA
MACF1_RAT,Macf1,D3ZHV2,22.0205,0.2631,0.3115,0.6112,,GO:0005794,Golgi
A0A0G2JVW3_RAT,Ankrd17,A0A0G2JVW3,22.0157,0.2659,0.3143,0.6089,,GO:0005737,Cytosol
A0A0G2K548_RAT,Akap9,A0A0G2K548,20.1348,0.2691,0.3176,0.6392,,GO:0005794,Golgi
D3ZAG0_RAT,Sema6a,D3ZAG0,20.3116,0.2769,0.3262,0.6200,,NA,NA
A0A096MIX2_RAT,Ddx17,A0A096MIX2,22.6931,0.2796,0.3290,0.5726,,GO:0005737,Cytosol
EPDR1_RAT,Epdr1,Q5XII0,21.4446,0.2904,0.3412,0.5702,,GO:0005764,Lysosome
F1M8K0_RAT,Dag1,F1M8K0,25.7922,0.2920,0.3425,0.6090,,GO:0005856,cytoskeleton
ABCA2_RAT,Abca2,Q9ESR9,21.9375,0.2944,0.3448,0.5887,,GO:0005764,Lysosome
D4AA77_RAT,Plxnd1,D4AA77,23.0619,0.2948,0.3448,0.5665,,GO:0016020,membrane
IGF1R_RAT,Igf1r,P24062,19.1995,0.2955,0.3451,0.6138,,GO:0005737,Cytosol
D4A9F4_RAT,Ntng2,D4A9F4,20.2588,0.2969,0.3462,0.5683,,NA,NA
D3ZCT7_RAT,Sec23b,D3ZCT7,19.9749,0.2998,0.3491,0.6992,,GO:0005783,endoplasmic reticulum
A0A0G2K0W3_RAT,Ttyh3,A0A0G2K0W3,23.8598,0.3039,0.3534,0.5329,,GO:0016020,membrane
NMDE4_RAT,Grin2d,Q62645,20.7980,0.3102,0.3602,0.5582,,NA,NA
A0A0G2K7L2_RAT,Igsf3,A0A0G2K7L2,25.1010,0.3111,0.3607,0.5406,,GO:0016020,membrane
C2D1A_RAT,Cc2d1a,Q66HA5,24.5020,0.3134,0.3627,0.5321,,GO:0005856,cytoskeleton
PTPRZ_RAT,Ptprz1,Q62656,23.2360,0.3159,0.3651,0.5299,,GO:0005737,Cytosol
A0A0G2JUA5_RAT,Ahnak,A0A0G2JUA5,20.9959,0.3172,0.3661,0.5194,,GO:0005737,Cytosol
D4A885_RAT,Abca13,D4A885,22.1585,0.3180,0.3662,0.7050,,GO:0031410,cytoplasmic vesicle
PDZD2_RAT,Pdzd2,Q9QZR8,21.0544,0.3182,0.3662,0.6708,,GO:0005783,endoplasmic reticulum
GABR2_RAT,Gabbr2,O88871,24.0925,0.3200,0.3674,0.5210,,GO:0005737,Cytosol
A0A0G2K315_RAT,Cep170,A0A0G2K315,20.5092,0.3202,0.3674,0.5315,,GO:0005856,cytoskeleton
A0A0G2JWG6_RAT,Golgb1,A0A0G2JWG6,22.4847,0.3260,0.3735,0.5094,,GO:0005794,Golgi
LRRT3_RAT,Lrrtm3,D3ZAL8,20.3586,0.3356,0.3840,0.5054,,GO:0045202,synapse
D3ZHA1_RAT,B4gat1,D3ZHA1,20.2787,0.3538,0.4036,0.6482,,GO:0005794,Golgi
G3P_RAT,Gapdh,P04797,21.6177,0.3561,0.4056,0.5208,,GO:0005856,cytoskeleton
D3ZW09_RAT,Sorcs2,D3ZW09,24.0161,0.3587,0.4080,0.5048,,GO:0005768,Endosome
G3V886_RAT,LOC108348078,G3V886,22.5088,0.3617,0.4108,0.4763,,NA,NA
M0R4G0_RAT,Islr2,M0R4G0,24.1731,0.3655,0.4140,0.5615,,GO:0016020,membrane
TFB1M_RAT,Tfb1m,Q811P6,19.4314,0.3675,0.4156,-0.5790,,GO:0032259,Mitochondrion
HS90B_RAT,Hsp90ab1,P34058,21.4855,0.3703,0.4182,0.4681,,GO:0005737,Cytosol
SNPH_RAT,Snph,B5DF41,22.2654,0.3717,0.4191,0.4791,,GO:0030054,Mitochondrion
Q5XIH3_RAT,Ndufv1,Q5XIH3,21.1454,0.3728,0.4198,0.4959,,GO:0009060,Mitochondrion
Q63116_RAT,Kit,Q63116,24.9102,0.3758,0.4224,0.5443,,GO:0005737,Cytosol
E9PTA4_RAT,Adam9,E9PTA4,21.5184,0.3762,0.4224,0.4617,,GO:0005737,Cytosol
RS3A_RAT,Rps3a,P49242,22.7996,0.3771,0.4229,0.4683,,GO:0005783,endoplasmic reticulum
NDUS1_RAT,Ndufs1,Q66HF1,22.5064,0.3827,0.4282,0.4616,,GO:0009060,Mitochondrion
D4A831_RAT,Adgrb3,D4A831,21.2566,0.3831,0.4282,0.5037,,GO:0098794,Axon
D3ZRN3_RAT,Actbl2,D3ZRN3,21.5501,0.3840,0.4282,-0.4623,,GO:0005856,cytoskeleton
FARP1_RAT,Farp1,F1LYQ8,22.1831,0.3841,0.4282,0.4466,,GO:0005856,cytoskeleton
MYO9B_RAT,Myo9b,Q63358,21.4802,0.3879,0.4319,0.6357,,GO:0005856,cytoskeleton
D3ZUM4_RAT,Glb1,D3ZUM4,20.5386,0.3897,0.4332,0.5303,,GO:0005794,Golgi
F7EYB9_RAT,Omg,F7EYB9,22.8920,0.3917,0.4349,0.4401,,GO:0016020,membrane
CTL2_RAT,Slc44a2,B4F795,20.9608,0.3926,0.4353,0.4755,,GO:0016021,Mitochondrion
GABR1_RAT,Gabbr1,Q9Z0U4,25.4783,0.3936,0.4358,0.4543,,GO:0005737,Cytosol
E9PT92_RAT,Csmd1,E9PT92,23.5902,0.3955,0.4373,0.4359,,GO:0016020,membrane
FOLH1_RAT,Folh1,P70627,22.3255,0.3986,0.4400,0.4531,,GO:0016020,membrane
D4AEB3_RAT,Setx,D4AEB3,20.8569,0.3999,0.4409,0.4770,,GO:0005737,Cytosol
A0A0G2K929_RAT,Cep290,A0A0G2K929,20.8500,0.4012,0.4414,-0.5824,,GO:0005856,cytoskeleton
1433G_RAT,Ywhag,P61983,20.6402,0.4015,0.4414,0.5220,,GO:0005737,Cytosol
D3ZG43_RAT,Ndufs3,D3ZG43,20.9441,0.4025,0.4418,0.4542,,GO:0009060,Mitochondrion
Q6AYM8_RAT,Gpaa1,Q6AYM8,19.7387,0.4064,0.4455,0.4386,,GO:0005783,endoplasmic reticulum
G3V8P7_RAT,LOC108348044,G3V8P7,21.3571,0.4090,0.4477,0.4258,,NA,NA
1433E_RAT,Ywhae,P62260,20.5884,0.4103,0.4485,0.4965,,GO:0005737,Cytosol
E9PTR4_RAT,Ubap2l,E9PTR4,24.7873,0.4144,0.4524,0.4551,,GO:0005737,Cytosol
D3ZK41_RAT,Slitrk2,D3ZK41,21.2074,0.4222,0.4603,0.4583,,NA,NA
A0A0G2JZ94_RAT,Ttc13,A0A0G2JZ94,20.4314,0.4306,0.4680,0.4630,,NA,NA
B0BN30_RAT,Mtch1,B0BN30,22.5210,0.4308,0.4680,0.4297,,GO:0016021,Mitochondrion
HEXB_RAT,Hexb,Q6AXR4,21.5396,0.4311,0.4680,0.4182,,GO:0005764,Lysosome
RTN4R_RAT,Rtn4r,Q99M75,23.4652,0.4350,0.4716,0.4066,,GO:0005783,endoplasmic reticulum
P4HA1_RAT,P4ha1,P54001,21.0739,0.4366,0.4727,0.5678,,GO:0005783,endoplasmic reticulum
LYAG_RAT,Gaa,Q6P7A9,21.6980,0.4445,0.4801,0.3917,,GO:0005764,Lysosome
A0A0G2K8I5_RAT,Pcdh19,A0A0G2K8I5,21.6301,0.4446,0.4801,0.4572,,GO:0016020,membrane
F1LPJ1_RAT,Ptprm,F1LPJ1,20.5805,0.4473,0.4817,0.5806,,GO:0005737,Cytosol
CA2D1_RAT,Cacna2d1,P54290,22.3306,0.4474,0.4817,0.3906,,GO:1990454,Axon
A0A0G2K459_RAT,Mtch2,A0A0G2K459,21.3093,0.4490,0.4828,0.3915,,GO:0071478,Mitochondrion
AKAP5_RAT,Akap5,P24587,19.7139,0.4500,0.4829,0.4187,,GO:0005768,Endosome
VPP1_RAT,Atp6v0a1,P25286,22.2396,0.4503,0.4829,0.3854,,GO:0005794,Golgi
A0A0G2JYU3_RAT,Astn2,A0A0G2JYU3,20.7817,0.4561,0.4884,0.3989,,GO:0005768,Endosome
PFKAL_RAT,Pfkl,P30835,20.6618,0.4612,0.4930,0.3926,,GO:0005737,Cytosol
RS2_RAT,Rps2,P27952,21.4545,0.4617,0.4930,0.4348,,GO:0005737,Cytosol
MOT1_RAT,Slc16a1,P53987,21.2697,0.4692,0.5004,0.3687,,NA,NA
AT1A1_RAT,Atp1a1,P06685,21.9894,0.4721,0.5028,0.3744,,GO:0005794,Golgi
GRM7_RAT,Grm7,P35400,22.1349,0.4746,0.5048,0.3769,,GO:0005794,Golgi
K2C5_RAT,Krt5,Q6P6Q2,22.4460,0.4787,0.5085,0.4521,,GO:0005737,Cytosol
RS7_RAT,Rps7,P62083,23.3579,0.4860,0.5155,0.4681,,GO:0005856,cytoskeleton
K2C6A_RAT,Krt6a,Q4FZU2,22.4164,0.4896,0.5178,0.4149,,GO:0005882,intermediate filament
A0A0G2JW69_RAT,Krt79,A0A0G2JW69,21.4667,0.4897,0.5178,0.3733,,GO:0005882,intermediate filament
DPP10_RAT,Dpp10,Q6Q629,21.0280,0.4902,0.5178,0.3909,,GO:0008076,Axon
LRC8D_RAT,Lrrc8d,Q5U308,21.5526,0.5220,0.5508,0.3250,,GO:0005783,endoplasmic reticulum
B0K026_RAT,Letmd1,B0K026,22.1947,0.5281,0.5564,0.3906,,GO:0005654,Nucleus
DHB4_RAT,Hsd17b4,P97852,20.6483,0.5445,0.5729,0.3405,,GO:0005777,Peroxisome
K22E_RAT,Krt2,Q6IG02,23.0988,0.5489,0.5767,0.3250,,GO:0001533,Axon
CADH2_RAT,Cdh2,Q9Z1Y3,22.1971,0.5524,0.5795,0.3559,,GO:0005737,Cytosol
MYO9A_RAT,Myo9a,Q9Z1N3,20.3579,0.5530,0.5795,0.5367,,GO:0005737,Cytosol
D3ZZK3_RAT,Epha4,D3ZZK3,19.9227,0.5573,0.5832,0.3503,,GO:0005794,Golgi
F1LV44_RAT,Tenm3,F1LV44,24.6163,0.5613,0.5867,0.3029,,GO:0016020,membrane
