Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,Sample 1 Area,Sample 2 Area,Sample Profile (Ratio),A Area,B Area,Group Profile (Ratio),Avg. Mass,Description
281,366,tr|A0A0G2K847|A0A0G2K847_RAT,2.35,2,1,1,,4.02E6,1.75E6,1.00:0.43,4.02E6,1.75E6,1.00:0.43,97485,Protein Agap1 OS=Rattus norvegicus GN=Agap1 PE=4 SV=1
505,616,tr|F1M3H8|F1M3H8_RAT,2.32,5,1,1,,8.15E6,3.58E6,1.00:0.44,8.15E6,3.58E6,1.00:0.44,30076,Protein LOC681410 OS=Rattus norvegicus GN=Hnrnpa0 PE=1 SV=3
439,7341,tr|F1LYJ8|F1LYJ8_RAT,2.30,2,1,1,,1.78E6,7.78E5,1.00:0.44,1.78E6,7.78E5,1.00:0.44,69556,Protein Gramd4 OS=Rattus norvegicus GN=Gramd4 PE=1 SV=2
360,504,D3Z8E6|CAMP1_RAT,2.30,1,1,1,,4.33E6,1.9E6,1.00:0.44,4.33E6,1.9E6,1.00:0.44,178524,Calmodulin-regulated spectrin-associated protein 1 OS=Rattus norvegicus GN=Camsap1 PE=1 SV=2
346,403,Q9JKA8|HCN3_RAT,2.28,5,3,3,,1.87E7,1.17E7,1.00:0.62,1.87E7,1.17E7,1.00:0.62,86809,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3 OS=Rattus norvegicus GN=Hcn3 PE=1 SV=1
258,214,Q5XIQ4|MGRN1_RAT,2.28,10,5,5,Carbamidomethylation,3.5E7,2.23E7,1.00:0.64,3.5E7,2.23E7,1.00:0.64,58603,E3 ubiquitin-protein ligase MGRN1 OS=Rattus norvegicus GN=Mgrn1 PE=1 SV=1
91,79,Q66HA5|C2D1A_RAT,2.26,18,16,16,Deamidation (NQ); Phosphorylation (STY); Pyro-glu from Q; Formylation,4.43E7,2.83E7,1.00:0.64,4.43E7,2.83E7,1.00:0.64,103587,Coiled-coil and C2 domain-containing protein 1A OS=Rattus norvegicus GN=Cc2d1a PE=1 SV=2
286,238,Q64232|TECR_RAT,2.26,14,4,4,,2.66E7,1.64E7,1.00:0.62,2.66E7,1.64E7,1.00:0.62,36123,Very-long-chain enoyl-CoA reductase OS=Rattus norvegicus GN=Tecr PE=1 SV=1
198,299,Q6AYT3|RTCB_RAT,2.25,11,5,5,Oxidation (M); Pyro-glu from Q,2.81E7,1.81E7,1.00:0.64,2.81E7,1.81E7,1.00:0.64,55249,tRNA-splicing ligase RtcB homolog OS=Rattus norvegicus GN=Rtcb PE=2 SV=1
225,167,O35764|NPTXR_RAT,2.24,14,6,6,Carbamidomethylation,5.38E7,3.56E7,1.00:0.66,5.38E7,3.56E7,1.00:0.66,52371,Neuronal pentraxin receptor OS=Rattus norvegicus GN=Nptxr PE=1 SV=1
160,146,P63079|GBRB3_RAT,2.23,15,6,3,Formylation,3.64E7,2.39E7,1.00:0.66,3.64E7,2.39E7,1.00:0.66,54166,Gamma-aminobutyric acid receptor subunit beta-3 OS=Rattus norvegicus GN=Gabrb3 PE=1 SV=1
313,489,Q6MG48|PRC2A_RAT,2.22,2,3,3,,1.27E7,8.04E6,1.00:0.63,1.27E7,8.04E6,1.00:0.63,229045,Protein PRRC2A OS=Rattus norvegicus GN=Prrc2a PE=1 SV=1
214,360,Q4FZU2|K2C6A_RAT,2.22,6,4,1,Carbamidomethylation; Formylation; Methylation(others),1.6E7,2.85E7,1.00:1.78,1.6E7,2.85E7,1.00:1.78,59249,Keratin  type II cytoskeletal 6A OS=Rattus norvegicus GN=Krt6a PE=1 SV=1
257,447,tr|A0A0G2K0W3|A0A0G2K0W3_RAT,2.21,8,4,4,Oxidation (M),4.97E7,3.29E7,1.00:0.66,4.97E7,3.29E7,1.00:0.66,57961,Protein tweety homolog OS=Rattus norvegicus GN=Ttyh3 PE=1 SV=1
87,84,P21707|SYT1_RAT,2.20,28,11,10,Carbamidomethylation; Carbamylation; Oxidation (M); Formylation,5.95E7,3.89E7,1.00:0.65,5.95E7,3.89E7,1.00:0.65,47399,Synaptotagmin-1 OS=Rattus norvegicus GN=Syt1 PE=1 SV=3
84,99,tr|Q8R490|Q8R490_RAT,2.20,19,12,12,Deamidation (NQ); Formylation; Oxidation (M); Carboxymethyl (KW  X@N-term); Hexose (NSY); Pyro-glu from Q,2.31E8,1.61E8,1.00:0.70,2.31E8,1.61E8,1.00:0.70,78086,Cadherin 13 OS=Rattus norvegicus GN=Cdh13 PE=1 SV=1
403,435,P54313|GBB2_RAT,2.19,5,2,2,,1.44E7,8.32E6,1.00:0.58,1.44E7,8.32E6,1.00:0.58,37331,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Rattus norvegicus GN=Gnb2 PE=1 SV=4
150,287,Q6IMF3|K2C1_RAT,2.19,7,5,3,Lysine oxidation to aminoadipic semialdehyde; Carbamylation; Formylation; Oxidation (M),4.2E7,6.39E7,1.00:1.52,4.2E7,6.39E7,1.00:1.52,64831,Keratin  type II cytoskeletal 1 OS=Rattus norvegicus GN=Krt1 PE=2 SV=1
273,239,tr|F1LUC0|F1LUC0_RAT,2.19,5,3,1,,5.22E6,2.37E6,1.00:0.45,5.22E6,2.37E6,1.00:0.45,72937,Protein Sybu OS=Rattus norvegicus GN=Sybu PE=1 SV=2
414,570,Q02563|SV2A_RAT,2.18,2,1,1,,1.62E7,7.41E6,1.00:0.46,1.62E7,7.41E6,1.00:0.46,82661,Synaptic vesicle glycoprotein 2A OS=Rattus norvegicus GN=Sv2a PE=1 SV=2
298,493,P13638|AT1B2_RAT,2.18,10,4,4,Oxidation (M),2.26E7,1.42E7,1.00:0.63,2.26E7,1.42E7,1.00:0.63,33412,Sodium/potassium-transporting ATPase subunit beta-2 OS=Rattus norvegicus GN=Atp1b2 PE=2 SV=1
126,114,tr|A0A0G2JY03|A0A0G2JY03_RAT,2.18,33,8,5,Carbamidomethylation,3.17E7,2.06E7,1.00:0.65,3.17E7,2.06E7,1.00:0.65,28253,Uncharacterized protein OS=Rattus norvegicus PE=1 SV=1
381,389,tr|D4A3H5|D4A3H5_RAT,2.17,2,2,2,,1.08E7,6.33E6,1.00:0.58,1.08E7,6.33E6,1.00:0.58,96989,Chloride channel protein OS=Rattus norvegicus GN=Clcn6 PE=1 SV=1
60,53,Q9JHW1|CBPD_RAT,2.17,15,18,18,Carbamidomethylation; Oxidation (M); Formylation; Pyro-glu from Q,5.43E7,3.48E7,1.00:0.64,5.43E7,3.48E7,1.00:0.64,152615,Carboxypeptidase D OS=Rattus norvegicus GN=Cpd PE=1 SV=2
242,664,Q9QWJ9|NRP1_RAT,2.16,4,3,3,Carbamidomethylation; Formylation,2.2E7,1.31E7,1.00:0.60,2.2E7,1.31E7,1.00:0.60,103082,Neuropilin-1 OS=Rattus norvegicus GN=Nrp1 PE=1 SV=1
155,145,Q62889|NLGN3_RAT,2.15,11,8,7,Formylation; Pyro-glu from Q,4.98E7,3.26E7,1.00:0.66,4.98E7,3.26E7,1.00:0.66,93888,Neuroligin-3 OS=Rattus norvegicus GN=Nlgn3 PE=1 SV=1
213,292,Q6P6Q2|K2C5_RAT,2.15,7,5,1,Carbamidomethylation; Carbamylation; Formylation; Methylation(KR),2.45E6,5.32E6,1.00:2.17,2.45E6,5.32E6,1.00:2.17,61826,Keratin  type II cytoskeletal 5 OS=Rattus norvegicus GN=Krt5 PE=1 SV=1
6,7,P69897|TBB5_RAT,2.14,68,33,3,Carbamidomethylation; Carbamylation; Deamidation (NQ); Dehydration; Formylation; 8 more,2.34E8,1.62E8,1.00:0.69,2.34E8,1.62E8,1.00:0.69,49671,Tubulin beta-5 chain OS=Rattus norvegicus GN=Tubb5 PE=1 SV=1
503,588,tr|Q6P3V8|Q6P3V8_RAT,2.13,2,1,1,,5.36E6,2.5E6,1.00:0.47,5.36E6,2.5E6,1.00:0.47,46154,Eukaryotic translation initiation factor 4A1 OS=Rattus norvegicus GN=Eif4a1 PE=1 SV=1
141,128,Q60587|ECHB_RAT,2.11,19,8,8,Carbamidomethylation; Formylation,4.74E7,3.19E7,1.00:0.67,4.74E7,3.19E7,1.00:0.67,51414,Trifunctional enzyme subunit beta  mitochondrial OS=Rattus norvegicus GN=Hadhb PE=1 SV=1
175,198,Q8K3V3|AGRG1_RAT,2.11,11,7,7,Carbamidomethylation; Formylation,5.08E7,3.26E7,1.00:0.64,5.08E7,3.26E7,1.00:0.64,77252,Adhesion G-protein coupled receptor G1 OS=Rattus norvegicus GN=Adgrg1 PE=1 SV=1
212,253,tr|A0A0G2JZX5|A0A0G2JZX5_RAT,2.11,5,5,2,,5.7E6,3.32E6,1.00:0.58,5.7E6,3.32E6,1.00:0.58,105189,Protein Iqsec2 OS=Rattus norvegicus GN=Iqsec2 PE=1 SV=1
104,140,P08413|KCC2B_RAT,2.10,23,10,4,Carbamidomethylation; Acetylation (Protein N-term); Carbamylation; Formylation; Oxidation (M); Methylation(KR),6.73E7,4.46E7,1.00:0.66,6.73E7,4.46E7,1.00:0.66,60402,Calcium/calmodulin-dependent protein kinase type II subunit beta OS=Rattus norvegicus GN=Camk2b PE=1 SV=1
78,87,D3ZQG6|TRIM2_RAT,2.09,23,13,11,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ); Oxidation (M); Phosphorylation (STY); Pyro-glu from Q,4.31E7,2.79E7,1.00:0.65,4.31E7,2.79E7,1.00:0.65,81427,Tripartite motif-containing protein 2 OS=Rattus norvegicus GN=Trim2 PE=1 SV=2
100,95,P97603|NEO1_RAT,2.09,11,12,12,Carbamidomethylation; Deamidation (NQ); Oxidation (M); Pyro-glu from Q; Formylation,3.43E7,2.24E7,1.00:0.65,3.43E7,2.24E7,1.00:0.65,150637,Neogenin (Fragment) OS=Rattus norvegicus GN=Neo1 PE=1 SV=1
85,94,O70511|ANK3_RAT,2.07,5,12,9,,1.98E7,1.3E7,1.00:0.66,1.98E7,1.3E7,1.00:0.66,284441,Ankyrin-3 OS=Rattus norvegicus GN=Ank3 PE=1 SV=3
202,258,P13086|SUCA_RAT,2.07,20,5,5,Carbamidomethylation; Deamidation (NQ); Dehydration; Formylation,5.82E7,3.89E7,1.00:0.67,5.82E7,3.89E7,1.00:0.67,36148,Succinate--CoA ligase [ADP/GDP-forming] subunit alpha  mitochondrial OS=Rattus norvegicus GN=Suclg1 PE=2 SV=2
259,217,Q5FVH2|PLD3_RAT,2.06,9,4,4,Carbamidomethylation; Formylation,6.87E7,4.52E7,1.00:0.66,6.87E7,4.52E7,1.00:0.66,54399,Phospholipase D3 OS=Rattus norvegicus GN=Pld3 PE=2 SV=1
410,524,Q641Y0|OST48_RAT,2.06,5,2,2,,2.24E7,1.34E7,1.00:0.60,2.24E7,1.34E7,1.00:0.60,48896,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Rattus norvegicus GN=Ddost PE=2 SV=1
142,153,tr|D4A517|D4A517_RAT,2.04,11,8,8,Pyro-glu from Q; Carbamidomethylation,5.14E7,3.49E7,1.00:0.68,5.14E7,3.49E7,1.00:0.68,94307,Protein Slc39a10 OS=Rattus norvegicus GN=Slc39a10 PE=1 SV=1
357,359,Q62918|NELL2_RAT,2.04,2,2,2,,1.51E7,8.97E6,1.00:0.59,1.51E7,8.97E6,1.00:0.59,90953,Protein kinase C-binding protein NELL2 OS=Rattus norvegicus GN=Nell2 PE=2 SV=1
127,131,P62630|EF1A1_RAT,2.03,17,6,6,Carbamidomethylation; Pyro-glu from Q; Formylation,8.18E7,5.49E7,1.00:0.67,8.18E7,5.49E7,1.00:0.67,50114,Elongation factor 1-alpha 1 OS=Rattus norvegicus GN=Eef1a1 PE=2 SV=1
269,208,D4A1J9|LRFN5_RAT,2.03,7,4,4,Carbamidomethylation,2.5E7,1.64E7,1.00:0.66,2.5E7,1.64E7,1.00:0.66,79339,Leucine-rich repeat and fibronectin type-III domain-containing protein 5 OS=Rattus norvegicus GN=Lrfn5 PE=1 SV=1
448,693,Q63638|SPEG_RAT,2.02,0,1,1,,2.56E7,1.52E7,1.00:0.59,2.56E7,1.52E7,1.00:0.59,354167,Striated muscle-specific serine/threonine-protein kinase OS=Rattus norvegicus GN=Speg PE=1 SV=2
301,274,P23576|GBRA2_RAT,2.02,9,4,2,Deamidation (NQ),4.17E7,2.6E7,1.00:0.62,4.17E7,2.6E7,1.00:0.62,51182,Gamma-aminobutyric acid receptor subunit alpha-2 OS=Rattus norvegicus GN=Gabra2 PE=3 SV=1
44,22,tr|G3V881|G3V881_RAT,2.02,25,15,15,Carbamidomethylation; Carbamylation; Deamidation (NQ); Dehydration; Formylation; 3 more,2.6E8,1.86E8,1.00:0.71,2.6E8,1.86E8,1.00:0.71,69832,Leucine rich repeat neuronal 6A  isoform CRA_a OS=Rattus norvegicus GN=Lingo1 PE=1 SV=1
57,29,Q80WF4|T132A_RAT,2.01,26,18,18,Carbamidomethylation; Formylation; Oxidation (M); Pyro-glu from Q; Sulphone,8.71E7,5.83E7,1.00:0.67,8.71E7,5.83E7,1.00:0.67,110574,Transmembrane protein 132A OS=Rattus norvegicus GN=Tmem132a PE=1 SV=1
42,77,P60711|ACTB_RAT,2.01,50,18,10,Carbamidomethylation; Acetylation (Protein N-term); Carbamylation; Deamidation (NQ); Formylation; 4 more,2.76E8,2.01E8,1.00:0.73,2.76E8,2.01E8,1.00:0.73,41737,Actin  cytoplasmic 1 OS=Rattus norvegicus GN=Actb PE=1 SV=1
41,16,P06687|AT1A3_RAT,1.99,29,23,11,Carbamidomethylation; Deamidation (NQ); Dehydration; Formylation; Oxidation (M); 2 more,3.68E7,2.44E7,1.00:0.66,3.68E7,2.44E7,1.00:0.66,111691,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Rattus norvegicus GN=Atp1a3 PE=1 SV=2
327,351,tr|B1H282|B1H282_RAT,1.99,6,3,3,,7.68E6,4.96E6,1.00:0.65,7.68E6,4.96E6,1.00:0.65,71115,Glycosyltransferase 25 domain containing 1 OS=Rattus norvegicus GN=Colgalt1 PE=1 SV=1
467,639,Q80WE1|FMR1_RAT,1.96,3,1,1,,2.51E6,1.22E6,1.00:0.49,2.51E6,1.22E6,1.00:0.49,66780,Synaptic functional regulator FMR1 OS=Rattus norvegicus GN=Fmr1 PE=1 SV=2
490,7299,tr|D4ABK1|D4ABK1_RAT,1.94,8,1,1,,5.31E6,2.61E6,1.00:0.49,5.31E6,2.61E6,1.00:0.49,21370,Protein Syngr3 OS=Rattus norvegicus GN=Syngr3 PE=1 SV=1
210,212,tr|D3ZHG3|D3ZHG3_RAT,1.94,6,3,3,Carbamidomethylation,1.73E7,1.13E7,1.00:0.65,1.73E7,1.13E7,1.00:0.65,86264,Protein Ptk7 OS=Rattus norvegicus GN=Ptk7 PE=1 SV=3
55,32,P15999|ATPA_RAT,1.94,33,15,15,Formylation; Oxidation (M),1.25E8,8.64E7,1.00:0.69,1.25E8,8.64E7,1.00:0.69,59754,ATP synthase subunit alpha  mitochondrial OS=Rattus norvegicus GN=Atp5a1 PE=1 SV=2
28,57,Q63372|NRX1A_RAT,1.93,22,27,22,Carbamidomethylation; Carbamylation; Deamidation (NQ); Formylation; Oxidation (M); 2 more,7.75E7,5.16E7,1.00:0.67,7.75E7,5.16E7,1.00:0.67,167922,Neurexin-1 OS=Rattus norvegicus GN=Nrxn1 PE=1 SV=3
27,39,Q9JKS6|PCLO_RAT,1.93,8,28,26,Carbamylation; Formylation; Methylation(KR); Oxidation (M); Pyro-glu from Q,1.01E8,6.85E7,1.00:0.68,1.01E8,6.85E7,1.00:0.68,552723,Protein piccolo OS=Rattus norvegicus GN=Pclo PE=1 SV=1
412,550,tr|A0A0G2JWK6|A0A0G2JWK6_RAT,1.93,3,1,1,,4.35E6,2.15E6,1.00:0.49,4.35E6,2.15E6,1.00:0.49,53714,Protein Amer2 OS=Rattus norvegicus GN=Amer2 PE=1 SV=1
25,33,Q63198|CNTN1_RAT,1.93,33,27,27,Carbamidomethylation; Carbamylation; Deamidation (NQ); Formylation; Oxidation (M); Sulphone,1.16E8,8.14E7,1.00:0.70,1.16E8,8.14E7,1.00:0.70,113494,Contactin-1 OS=Rattus norvegicus GN=Cntn1 PE=1 SV=2
385,458,P84092|AP2M1_RAT,1.90,4,2,2,,1.36E7,8.38E6,1.00:0.61,1.36E7,8.38E6,1.00:0.61,49655,AP-2 complex subunit mu OS=Rattus norvegicus GN=Ap2m1 PE=1 SV=1
62,40,Q9Z173|AGRL3_RAT,1.90,12,15,14,Carbamidomethylation; Oxidation (M),7.1E7,4.84E7,1.00:0.68,7.1E7,4.84E7,1.00:0.68,172441,Adhesion G protein-coupled receptor L3 OS=Rattus norvegicus GN=Adgrl3 PE=1 SV=1
440,7343,tr|F1MAK3|F1MAK3_RAT,1.89,0,1,1,,2.31E6,1.15E6,1.00:0.50,2.31E6,1.15E6,1.00:0.50,231192,Protein Arhgap32 OS=Rattus norvegicus GN=Arhgap32 PE=1 SV=2
246,225,Q9JKB0|HCN1_RAT,1.89,5,3,3,,2.48E7,1.64E7,1.00:0.66,2.48E7,1.64E7,1.00:0.66,102422,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1 OS=Rattus norvegicus GN=Hcn1 PE=2 SV=1
4,5,P85108|TBB2A_RAT,1.88,68,34,1,Carbamidomethylation; Carbamylation; Deamidation (NQ); Dehydration; Formylation; 8 more,4.77E7,2.9E7,1.00:0.61,4.77E7,2.9E7,1.00:0.61,49907,Tubulin beta-2A chain OS=Rattus norvegicus GN=Tubb2a PE=1 SV=1
283,413,tr|D3ZGY4|D3ZGY4_RAT,1.87,14,4,4,Carbamidomethylation; Deamidation (NQ),3.31E7,2.23E7,1.00:0.67,3.31E7,2.23E7,1.00:0.67,35823,Glyceraldehyde-3-phosphate dehydrogenase OS=Rattus norvegicus GN=Gapdh-ps2 PE=3 SV=1
458,507,tr|F1LZB7|F1LZB7_RAT,1.87,1,1,1,,5.61E6,2.81E6,1.00:0.50,5.61E6,2.81E6,1.00:0.50,117978,Protein Frmd4b OS=Rattus norvegicus GN=Frmd4b PE=1 SV=2
24,31,tr|D3ZWP6|D3ZWP6_RAT,1.86,14,27,13,Carbamidomethylation; Acetylation (N-term); Carbamylation; Deamidation (NQ); Formylation; 5 more,4.26E7,2.87E7,1.00:0.67,4.26E7,2.87E7,1.00:0.67,211602,Protein Plxna2 OS=Rattus norvegicus GN=Plxna2 PE=1 SV=1
135,119,Q925T8|BRNP1_RAT,1.86,10,8,8,,3.2E7,1.97E7,1.00:0.62,3.2E7,1.97E7,1.00:0.62,88654,BMP/retinoic acid-inducible neural-specific protein 1 OS=Rattus norvegicus GN=Brinp1 PE=2 SV=1
342,313,Q99M75|RTN4R_RAT,1.85,7,3,3,Carbamidomethylation,2.35E7,1.61E7,1.00:0.69,2.35E7,1.61E7,1.00:0.69,50851,Reticulon-4 receptor OS=Rattus norvegicus GN=Rtn4r PE=1 SV=2
510,721,Q5BK63|NDUA9_RAT,1.84,2,1,1,,1.12E7,5.73E6,1.00:0.51,1.12E7,5.73E6,1.00:0.51,42559,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9  mitochondrial OS=Rattus norvegicus GN=Ndufa9 PE=1 SV=2
300,230,P20611|PPAL_RAT,1.83,8,4,4,Carbamidomethylation,6.41E7,4.43E7,1.00:0.69,6.41E7,4.43E7,1.00:0.69,48320,Lysosomal acid phosphatase OS=Rattus norvegicus GN=Acp2 PE=1 SV=1
92,59,Q765A7|PGAP1_RAT,1.79,17,13,13,Carbamidomethylation; Oxidation (M); Pyro-glu from Q,8.36E7,5.7E7,1.00:0.68,8.36E7,5.7E7,1.00:0.68,104384,GPI inositol-deacylase OS=Rattus norvegicus GN=Pgap1 PE=1 SV=1
331,412,Q9EQV6|TPP1_RAT,1.79,6,2,2,,8.2E6,5.11E6,1.00:0.62,8.2E6,5.11E6,1.00:0.62,61332,Tripeptidyl-peptidase 1 OS=Rattus norvegicus GN=Tpp1 PE=1 SV=1
96,76,tr|Q6AYI1|Q6AYI1_RAT,1.79,16,11,3,Carbamidomethylation; Oxidation (M); Formylation,1.35E7,9.27E6,1.00:0.69,1.35E7,9.27E6,1.00:0.69,69239,DEAD (Asp-Glu-Ala-Asp) box polypeptide 5 OS=Rattus norvegicus GN=Ddx5 PE=1 SV=1
294,352,tr|A0A0G2JW69|A0A0G2JW69_RAT,1.78,7,4,1,Carbamylation; Formylation; Methylation(KR),1.92E7,9.93E6,1.00:0.52,1.92E7,9.93E6,1.00:0.52,52888,Protein Krt79 (Fragment) OS=Rattus norvegicus GN=Krt79 PE=1 SV=1
255,329,Q80WD1|R4RL2_RAT,1.77,7,3,3,Carbamidomethylation,1.84E7,1.28E7,1.00:0.69,1.84E7,1.28E7,1.00:0.69,46184,Reticulon-4 receptor-like 2 OS=Rattus norvegicus GN=Rtn4rl2 PE=1 SV=1
275,249,tr|D3ZU85|D3ZU85_RAT,1.76,3,2,2,,1.61E7,1.01E7,1.00:0.63,1.61E7,1.01E7,1.00:0.63,87705,Protein Frmd4a OS=Rattus norvegicus GN=Frmd4a PE=1 SV=3
231,353,tr|D4A6T9|D4A6T9_RAT,1.76,5,3,1,Carbamidomethylation; Phosphorylation (STY),3.39E6,1.77E6,1.00:0.52,3.39E6,1.77E6,1.00:0.52,82599,Protein Mark4 OS=Rattus norvegicus GN=Mark4 PE=1 SV=1
361,542,Q63803|GNAS1_RAT,1.75,1,1,1,,4.55E6,8.76E6,1.00:1.92,4.55E6,8.76E6,1.00:1.92,122887,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas OS=Rattus norvegicus GN=Gnas PE=1 SV=3
374,831,P70582|NUP54_RAT,1.75,2,1,1,,4.71E6,2.45E6,1.00:0.52,4.71E6,2.45E6,1.00:0.52,55745,Nuclear pore complex protein Nup54 OS=Rattus norvegicus GN=Nup54 PE=1 SV=1
386,480,tr|M0R6E0|M0R6E0_RAT,1.75,2,2,2,Carbamidomethylation,1.83E7,1.22E7,1.00:0.67,1.83E7,1.22E7,1.00:0.67,90851,Phospholipid-transporting ATPase OS=Rattus norvegicus GN=Atp9a PE=1 SV=2
61,47,P97710|SHPS1_RAT,1.75,36,14,14,Carbamidomethylation; Formylation; Oxidation (M); Carboxymethyl (KW  X@N-term),1.15E8,8.22E7,1.00:0.72,1.15E8,8.22E7,1.00:0.72,55691,Tyrosine-protein phosphatase non-receptor type substrate 1 OS=Rattus norvegicus GN=Sirpa PE=1 SV=1
129,148,P0C7J6|LRFN1_RAT,1.74,10,7,7,,3.15E7,2.22E7,1.00:0.71,3.15E7,2.22E7,1.00:0.71,81970,Leucine-rich repeat and fibronectin type III domain-containing protein 1 OS=Rattus norvegicus GN=Lrfn1 PE=1 SV=1
302,278,P20236|GBRA3_RAT,1.73,10,4,1,Deamidation (NQ),4.58E6,2.41E6,1.00:0.53,4.58E6,2.41E6,1.00:0.53,55433,Gamma-aminobutyric acid receptor subunit alpha-3 OS=Rattus norvegicus GN=Gabra3 PE=1 SV=1
122,129,tr|D4AA63|D4AA63_RAT,1.73,18,7,7,Oxidation (M); Formylation,1.16E8,8.55E7,1.00:0.73,1.16E8,8.55E7,1.00:0.73,67260,Protein Ubqln2 OS=Rattus norvegicus GN=Ubqln2 PE=1 SV=1
508,704,Q02874|H2AY_RAT,1.71,2,1,1,,9.39E6,4.96E6,1.00:0.53,9.39E6,4.96E6,1.00:0.53,39504,Core histone macro-H2A.1 OS=Rattus norvegicus GN=H2afy PE=1 SV=4
390,528,tr|D3ZG43|D3ZG43_RAT,1.71,5,1,1,,2.81E6,1.48E6,1.00:0.53,2.81E6,1.48E6,1.00:0.53,30226,NADH dehydrogenase (Ubiquinone) Fe-S protein 3 (Predicted)  isoform CRA_c OS=Rattus norvegicus GN=Ndufs3 PE=1 SV=1
498,541,Q63016|LAT1_RAT,1.70,3,1,1,,1.02E7,5.41E6,1.00:0.53,1.02E7,5.41E6,1.00:0.53,55903,Large neutral amino acids transporter small subunit 1 OS=Rattus norvegicus GN=Slc7a5 PE=1 SV=2
46,54,tr|D3ZEH1|D3ZEH1_RAT,1.69,5,20,20,Pyro-glu from Q; Deamidation (NQ); Formylation,3.44E7,2.46E7,1.00:0.72,3.44E7,2.46E7,1.00:0.72,540348,Protein Fat4 OS=Rattus norvegicus GN=Fat4 PE=1 SV=3
31,43,Q63374|NRX2A_RAT,1.67,13,20,15,Carbamidomethylation; Deamidation (NQ); Formylation; Oxidation (M); Pyro-glu from Q,6.91E7,5.05E7,1.00:0.73,6.91E7,5.05E7,1.00:0.73,185168,Neurexin-2 OS=Rattus norvegicus GN=Nrxn2 PE=1 SV=3
425,694,P17764|THIL_RAT,1.66,3,1,1,,1.9E6,1.02E6,1.00:0.54,1.9E6,1.02E6,1.00:0.54,44695,Acetyl-CoA acetyltransferase  mitochondrial OS=Rattus norvegicus GN=Acat1 PE=1 SV=1
351,597,P13852|PRIO_RAT,1.66,11,3,3,Carbamidomethylation; Oxidation (M),2.28E7,3.23E7,1.00:1.41,2.28E7,3.23E7,1.00:1.41,27804,Major prion protein OS=Rattus norvegicus GN=Prnp PE=1 SV=2
396,860,tr|B2RYC9|B2RYC9_RAT,1.65,3,2,2,,1.46E7,9.38E6,1.00:0.64,1.46E7,9.38E6,1.00:0.64,57492,Glucosylceramidase OS=Rattus norvegicus GN=Gba PE=1 SV=1
308,479,P25235|RPN2_RAT,1.65,10,4,4,,1.02E7,7.1E6,1.00:0.70,1.02E7,7.1E6,1.00:0.70,69078,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Rattus norvegicus GN=Rpn2 PE=2 SV=2
515,824,tr|D3ZHS8|D3ZHS8_RAT,1.64,1,1,1,,4.29E6,2.32E6,1.00:0.54,4.29E6,2.32E6,1.00:0.54,83664,Protein Amer3 OS=Rattus norvegicus GN=Amer3 PE=4 SV=3
462,553,P31977|EZRI_RAT,1.62,2,1,1,,3.24E6,1.76E6,1.00:0.54,3.24E6,1.76E6,1.00:0.54,69391,Ezrin OS=Rattus norvegicus GN=Ezr PE=1 SV=3
94,60,tr|F1LX07|F1LX07_RAT,1.61,18,11,11,Oxidation (M); Formylation,4.57E7,3.36E7,1.00:0.73,4.57E7,3.36E7,1.00:0.73,71917,Protein Slc25a12 OS=Rattus norvegicus GN=Slc25a12 PE=1 SV=3
293,306,tr|Q6P762|Q6P762_RAT,1.60,5,4,4,,1.62E7,1.14E7,1.00:0.70,1.62E7,1.14E7,1.00:0.70,114327,Alpha-mannosidase OS=Rattus norvegicus GN=Man2b1 PE=1 SV=1
276,261,tr|M0R7B4|M0R7B4_RAT,1.60,22,4,1,Acetylation (Protein N-term),3.41E6,1.87E6,1.00:0.55,3.41E6,1.87E6,1.00:0.55,22234,Protein LOC684828 OS=Rattus norvegicus GN=LOC684828 PE=1 SV=2
366,463,tr|M0RAP5|M0RAP5_RAT,1.59,1,1,1,,2.21E6,1.21E6,1.00:0.55,2.21E6,1.21E6,1.00:0.55,211405,Protein Sbf1 OS=Rattus norvegicus GN=Sbf1 PE=1 SV=1
404,445,P27791|KAPCA_RAT,1.57,5,2,2,,8.22E6,5.37E6,1.00:0.65,8.22E6,5.37E6,1.00:0.65,40620,cAMP-dependent protein kinase catalytic subunit alpha OS=Rattus norvegicus GN=Prkaca PE=1 SV=2
36,61,tr|F1LZ38|F1LZ38_RAT,1.57,8,23,18,Carbamidomethylation; Acetylation (N-term); Oxidation (M); Pyro-glu from Q; Carbamylation; 3 more,1.79E8,2.35E8,1.00:1.32,1.79E8,2.35E8,1.00:1.32,310876,Protein Tenm4 OS=Rattus norvegicus GN=Tenm4 PE=4 SV=2
