Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,Sample 2 Area,Sample 4 Area,Sample Profile (Ratio),A HCD Area,B HCD Area,Group Profile (Ratio),Avg. Mass,Description
746,21203,tr|D4A2I9|D4A2I9_RAT,1.34,2,2,2,,9E6,5.18E6,1.27:0.73,9E6,5.18E6,1.27:0.73,114449,Protein Sorcs3 OS=Rattus norvegicus GN=Sorcs3 PE=4 SV=3
235,20972,Q9ESR9|ABCA2_RAT,1.34,6,9,9,Carbamidomethylation,1.35E7,7.77E6,1.27:0.73,1.35E7,7.77E6,1.27:0.73,270926,ATP-binding cassette sub-family A member 2 OS=Rattus norvegicus GN=Abca2 PE=1 SV=1
622,20968,tr|A0A0G2JY48|A0A0G2JY48_RAT,1.34,4,3,1,Carbamidomethylation,2.21E6,6.19E5,1.56:0.44,2.21E6,6.19E5,1.56:0.44,109887,Protein Ephb2 OS=Rattus norvegicus GN=Ephb2 PE=1 SV=1
75,108,P63018|HSP7C_RAT,1.32,39,21,15,Carbamidomethylation,9.36E7,5.24E7,1.28:0.72,9.36E7,5.24E7,1.28:0.72,70871,Heat shock cognate 71 kDa protein OS=Rattus norvegicus GN=Hspa8 PE=1 SV=1
164,352,tr|M0R4G0|M0R4G0_RAT,1.32,30,16,15,Carbamidomethylation,4.61E7,2.78E7,1.25:0.75,4.61E7,2.78E7,1.25:0.75,79878,Protein Islr2 OS=Rattus norvegicus GN=Islr2 PE=4 SV=2
986,21612,tr|D3ZV39|D3ZV39_RAT,1.32,1,1,1,,6.83E5,1.93E5,1.56:0.44,6.83E5,1.93E5,1.56:0.44,242858,Protein Armcx4 OS=Rattus norvegicus GN=Armcx4 PE=1 SV=3
1291,1546,tr|D3ZM97|D3ZM97_RAT,1.32,3,1,1,,1.58E6,5.55E6,0.44:1.56,1.58E6,5.55E6,0.44:1.56,34788,Olfactory receptor OS=Rattus norvegicus GN=Olr1121 PE=3 SV=1
955,21301,tr|B2GUY8|B2GUY8_RAT,1.32,3,1,1,,3.17E6,1.26E6,1.43:0.57,3.17E6,1.26E6,1.43:0.57,34341,Protein Slc25a17 OS=Rattus norvegicus GN=Slc25a17 PE=1 SV=1
394,11038,tr|M0R5P8|M0R5P8_RAT,1.31,11,7,7,Carbamidomethylation,1.79E7,1.06E7,1.26:0.74,1.79E7,1.06E7,1.26:0.74,85695,Protein Adam22 OS=Rattus norvegicus GN=Adam22 PE=1 SV=2
544,12168,tr|D4A1G8|D4A1G8_RAT,1.31,3,3,2,,2.54E6,1.01E6,1.43:0.57,2.54E6,1.01E6,1.43:0.57,171694,Protein Cep170b OS=Rattus norvegicus GN=Cep170b PE=1 SV=1
21,87,tr|A0A0G2K7L2|A0A0G2K7L2_RAT,1.31,45,41,39,Carbamidomethylation,7.4E7,4.76E7,1.22:0.78,7.4E7,4.76E7,1.22:0.78,134127,Protein Igsf3 OS=Rattus norvegicus GN=Igsf3 PE=4 SV=1
14,167,tr|D3ZEH1|D3ZEH1_RAT,1.31,13,50,50,Carbamidomethylation,1.06E8,6.23E7,1.26:0.74,1.06E8,6.23E7,1.26:0.74,540348,Protein Fat4 OS=Rattus norvegicus GN=Fat4 PE=1 SV=3
241,3338,P10719|ATPB_RAT,1.30,25,9,9,,1.74E7,9.88E6,1.28:0.72,1.74E7,9.88E6,1.28:0.72,56354,ATP synthase subunit beta  mitochondrial OS=Rattus norvegicus GN=Atp5b PE=1 SV=2
569,3585,Q63092|CAMKV_RAT,1.30,13,3,3,,4.36E6,2.54E6,1.26:0.74,4.36E6,2.54E6,1.26:0.74,54106,CaM kinase-like vesicle-associated protein OS=Rattus norvegicus GN=Camkv PE=1 SV=1
992,21199,tr|F1LUZ4|F1LUZ4_RAT,1.29,3,4,2,,3.48E6,1.5E6,1.40:0.60,3.48E6,1.5E6,1.40:0.60,129968,Protein Sorcs1 OS=Rattus norvegicus GN=Sorcs1 PE=4 SV=2
133,152,tr|G3V881|G3V881_RAT,1.29,34,22,20,Carbamidomethylation,1.62E8,1.05E8,1.21:0.79,1.62E8,1.05E8,1.21:0.79,69832,Leucine rich repeat neuronal 6A  isoform CRA_a OS=Rattus norvegicus GN=Lingo1 PE=1 SV=1
650,11615,Q9QZG1|S22AN_RAT,1.28,5,3,3,Carbamidomethylation,1.64E7,9.7E6,1.26:0.74,1.64E7,9.7E6,1.26:0.74,74208,Solute carrier family 22 member 23 OS=Rattus norvegicus GN=Slc22a23 PE=2 SV=2
191,362,Q9QWJ9|NRP1_RAT,1.28,15,10,10,Carbamidomethylation,5.34E7,3.11E7,1.26:0.74,5.34E7,3.11E7,1.26:0.74,103082,Neuropilin-1 OS=Rattus norvegicus GN=Nrp1 PE=1 SV=1
754,21051,tr|D3ZG43|D3ZG43_RAT,1.27,14,3,3,,8.63E6,5.13E6,1.25:0.75,8.63E6,5.13E6,1.25:0.75,30226,NADH dehydrogenase (Ubiquinone) Fe-S protein 3 (Predicted)  isoform CRA_c OS=Rattus norvegicus GN=Ndufs3 PE=1 SV=1
1074,21221,Q6W5G4|PLPR2_RAT,1.27,6,1,1,Carbamidomethylation,2.44E7,1.46E7,1.25:0.75,2.44E7,1.46E7,1.25:0.75,36936,Phospholipid phosphatase-related protein type 2 OS=Rattus norvegicus GN=Plppr2 PE=1 SV=1
220,42,P24942|EAA1_RAT,1.26,23,13,12,Carbamidomethylation,2.35E9,1.6E9,1.19:0.81,2.35E9,1.6E9,1.19:0.81,59698,Excitatory amino acid transporter 1 OS=Rattus norvegicus GN=Slc1a3 PE=1 SV=2
238,271,O08679|MARK2_RAT,1.26,18,9,6,Carbamidomethylation,1.61E7,9.51E6,1.26:0.74,1.61E7,9.51E6,1.26:0.74,80872,Serine/threonine-protein kinase MARK2 OS=Rattus norvegicus GN=Mark2 PE=1 SV=1
1289,42526,tr|A0A0G2JV56|A0A0G2JV56_RAT,1.26,7,1,1,,3.04E6,9.09E5,1.54:0.46,3.04E6,9.09E5,1.54:0.46,25575,Protein Efna3 OS=Rattus norvegicus GN=Efna3 PE=3 SV=1
1237,23213,tr|Q5XIP2|Q5XIP2_RAT,1.26,3,1,1,,1.19E6,3.55E5,1.54:0.46,1.19E6,3.55E5,1.54:0.46,44893,Phosphatidylinositol glycan  class K OS=Rattus norvegicus GN=Pigk PE=1 SV=1
74,77,Q64428|ECHA_RAT,1.26,40,25,25,Carbamidomethylation,5.93E7,3.73E7,1.23:0.77,5.93E7,3.73E7,1.23:0.77,82665,Trifunctional enzyme subunit alpha  mitochondrial OS=Rattus norvegicus GN=Hadha PE=1 SV=2
686,21079,Q9Z142|TMM33_RAT,1.26,9,2,2,,5.19E6,3.03E6,1.26:0.74,5.19E6,3.03E6,1.26:0.74,27983,Transmembrane protein 33 OS=Rattus norvegicus GN=Tmem33 PE=2 SV=1
326,21002,Q99M75|RTN4R_RAT,1.25,26,10,10,Carbamidomethylation,2.34E7,1.43E7,1.24:0.76,2.34E7,1.43E7,1.24:0.76,50851,Reticulon-4 receptor OS=Rattus norvegicus GN=Rtn4r PE=1 SV=2
639,21253,tr|F1M3T8|F1M3T8_RAT,1.24,6,6,6,Carbamidomethylation,1.45E7,8.27E6,1.27:0.73,1.45E7,8.27E6,1.27:0.73,125056,Protein Atrnl1 OS=Rattus norvegicus GN=Atrnl1 PE=4 SV=3
256,20904,tr|D3ZBM3|D3ZBM3_RAT,1.24,34,11,11,Carbamidomethylation,3.94E7,2.37E7,1.25:0.75,3.94E7,2.37E7,1.25:0.75,47552,Ferrochelatase OS=Rattus norvegicus GN=Fech PE=1 SV=1
202,762,Q4V8I7|LRC8A_RAT,1.24,20,14,12,Carbamidomethylation,3.18E7,1.87E7,1.26:0.74,3.18E7,1.87E7,1.26:0.74,94162,Volume-regulated anion channel subunit LRRC8A OS=Rattus norvegicus GN=Lrrc8a PE=1 SV=1
850,4152,tr|D3ZHH5|D3ZHH5_RAT,1.24,1,1,1,,2.27E6,6.91E5,1.53:0.47,2.27E6,6.91E5,1.53:0.47,126844,Protein Ccdc158 OS=Rattus norvegicus GN=Ccdc158 PE=4 SV=1
224,11802,Q62950|DPYL1_RAT,1.24,25,11,9,Carbamidomethylation,2.78E7,1.74E7,1.23:0.77,2.78E7,1.74E7,1.23:0.77,62196,Dihydropyrimidinase-related protein 1 OS=Rattus norvegicus GN=Crmp1 PE=1 SV=1
301,11453,Q62786|FPRP_RAT,1.24,13,9,9,Carbamidomethylation,2.23E7,1.31E7,1.26:0.74,2.23E7,1.31E7,1.26:0.74,98731,Prostaglandin F2 receptor negative regulator OS=Rattus norvegicus GN=Ptgfrn PE=1 SV=1
293,446,tr|D4A7Y4|D4A7Y4_RAT,1.23,11,7,6,Carbamidomethylation,8.22E6,4.59E6,1.28:0.72,8.22E6,4.59E6,1.28:0.72,95202,Protein Fam171a1 OS=Rattus norvegicus GN=Fam171a1 PE=1 SV=3
611,11590,P19493|GRIA4_RAT,1.23,7,5,3,,2.6E6,1.25E6,1.35:0.65,2.6E6,1.25E6,1.35:0.65,100758,Glutamate receptor 4 OS=Rattus norvegicus GN=Gria4 PE=1 SV=1
1060,21713,Q9Z122|FADS2_RAT,1.23,6,2,2,,2.34E6,9.82E5,1.41:0.59,2.34E6,9.82E5,1.41:0.59,52380,Fatty acid desaturase 2 OS=Rattus norvegicus GN=Fads2 PE=2 SV=1
997,12718,tr|G3V9W2|G3V9W2_RAT,1.22,1,1,1,,7.48E5,2.31E5,1.53:0.47,7.48E5,2.31E5,1.53:0.47,133261,Tyrosine-protein kinase OS=Rattus norvegicus GN=Jak1 PE=1 SV=1
653,20974,tr|D4A8N1|D4A8N1_RAT,1.22,15,4,4,,1.19E7,7.29E6,1.24:0.76,1.19E7,7.29E6,1.24:0.76,29250,Protein Dpm1 OS=Rattus norvegicus GN=Dpm1 PE=1 SV=1
1259,21549,tr|D3ZA31|D3ZA31_RAT,1.21,2,2,1,,1.61E6,7.2E5,1.38:0.62,1.61E6,7.2E5,1.38:0.62,73272,Myotubularin related protein 2 (Predicted)  isoform CRA_b OS=Rattus norvegicus GN=Mtmr2 PE=1 SV=1
221,228,tr|D4A2Q3|D4A2Q3_RAT,1.21,14,11,11,Carbamidomethylation,6.42E7,4.03E7,1.23:0.77,6.42E7,4.03E7,1.23:0.77,115564,Protein Psd3 OS=Rattus norvegicus GN=Psd3 PE=1 SV=3
57,165,Q62638|GSLG1_RAT,1.21,25,23,23,Carbamidomethylation,4.82E7,2.87E7,1.25:0.75,4.82E7,2.87E7,1.25:0.75,133557,Golgi apparatus protein 1 OS=Rattus norvegicus GN=Glg1 PE=1 SV=1
854,20955,P18445|RL27A_RAT,1.21,28,4,4,Carbamidomethylation,3.59E7,2.24E7,1.23:0.77,3.59E7,2.24E7,1.23:0.77,16618,60S ribosomal protein L27a OS=Rattus norvegicus GN=Rpl27a PE=1 SV=3
328,12717,tr|F1MA97|F1MA97_RAT,1.21,8,11,10,Carbamidomethylation,2.18E7,1.37E7,1.23:0.77,2.18E7,1.37E7,1.23:0.77,183515,Protein Thsd7a OS=Rattus norvegicus GN=Thsd7a PE=4 SV=3
734,2464,tr|A0A0G2K490|A0A0G2K490_RAT,1.20,2,3,1,,1.28E6,4E5,1.52:0.48,1.28E6,4E5,1.52:0.48,154971,Protein Tnik OS=Rattus norvegicus GN=Tnik PE=1 SV=1
521,20956,Q562B5|PGAM5_RAT,1.20,16,6,6,,1.88E7,1.17E7,1.23:0.77,1.88E7,1.17E7,1.23:0.77,32060,Serine/threonine-protein phosphatase PGAM5  mitochondrial OS=Rattus norvegicus GN=Pgam5 PE=2 SV=1
176,12628,P97849|S27A1_RAT,1.19,23,15,13,Carbamidomethylation,4.61E7,2.86E7,1.23:0.77,4.61E7,2.86E7,1.23:0.77,71283,Long-chain fatty acid transport protein 1 OS=Rattus norvegicus GN=Slc27a1 PE=2 SV=1
110,4,P68370|TBA1A_RAT,1.19,57,25,1,Carbamidomethylation,2.78E8,1.79E8,1.22:0.78,2.78E8,1.79E8,1.22:0.78,50136,Tubulin alpha-1A chain OS=Rattus norvegicus GN=Tuba1a PE=1 SV=1
479,4767,tr|F1LR12|F1LR12_RAT,1.19,1,4,1,,4.17E6,1.33E6,1.52:0.48,4.17E6,1.33E6,1.52:0.48,261244,Protein Nav2 OS=Rattus norvegicus GN=Nav2 PE=1 SV=2
838,1141,tr|D4A9U6|D4A9U6_RAT,1.19,2,2,2,Carbamidomethylation,1.56E7,7.37E6,1.36:0.64,1.56E7,7.37E6,1.36:0.64,199173,Protein Ubr2 OS=Rattus norvegicus GN=Ubr2 PE=1 SV=3
53,3312,tr|M0RAP5|M0RAP5_RAT,1.19,20,32,29,Carbamidomethylation,2.29E7,1.45E7,1.22:0.78,2.29E7,1.45E7,1.22:0.78,211405,Protein Sbf1 OS=Rattus norvegicus GN=Sbf1 PE=1 SV=1
342,1472,Q8K4Y5|LGI1_RAT,1.19,21,10,10,Carbamidomethylation,3.22E7,2.06E7,1.22:0.78,3.22E7,2.06E7,1.22:0.78,63728,Leucine-rich glioma-inactivated protein 1 OS=Rattus norvegicus GN=Lgi1 PE=1 SV=1
131,1252,O88871|GABR2_RAT,1.18,25,20,20,Carbamidomethylation,6.65E7,4.35E7,1.21:0.79,6.65E7,4.35E7,1.21:0.79,105751,Gamma-aminobutyric acid type B receptor subunit 2 OS=Rattus norvegicus GN=Gabbr2 PE=1 SV=2
514,20905,P04797|G3P_RAT,1.18,18,4,2,Carbamidomethylation,2.97E7,1.66E7,1.28:0.72,2.97E7,1.66E7,1.28:0.72,35828,Glyceraldehyde-3-phosphate dehydrogenase OS=Rattus norvegicus GN=Gapdh PE=1 SV=3
422,3440,tr|A5I9F0|A5I9F0_RAT,1.17,3,4,4,Carbamidomethylation,6.83E6,4.15E6,1.24:0.76,6.83E6,4.15E6,1.24:0.76,162183,Protein Ptprk OS=Rattus norvegicus GN=Ptprk PE=1 SV=1
811,21129,tr|F1LZB7|F1LZB7_RAT,1.17,2,2,2,Carbamidomethylation,6.12E6,2.84E6,1.37:0.63,6.12E6,2.84E6,1.37:0.63,117978,Protein Frmd4b OS=Rattus norvegicus GN=Frmd4b PE=1 SV=2
1089,21319,tr|F1M8M1|F1M8M1_RAT,1.17,1,1,1,,4.45E6,1.43E6,1.51:0.49,4.45E6,1.43E6,1.51:0.49,58292,Protein Tmem108 OS=Rattus norvegicus GN=Tmem108 PE=4 SV=3
929,21190,tr|A0A0G2K808|A0A0G2K808_RAT,1.17,1,1,1,,1.49E8,7.23E7,1.35:0.65,1.49E8,7.23E7,1.35:0.65,94323,Protein Asap2 OS=Rattus norvegicus GN=Asap2 PE=1 SV=1
805,3648,tr|D3ZKG6|D3ZKG6_RAT,1.16,12,2,1,Carbamidomethylation,1.09E7,6.61E6,1.24:0.76,1.09E7,6.61E6,1.24:0.76,15591,Protein RGD1559955 OS=Rattus norvegicus GN=RGD1559955 PE=3 SV=1
463,525,P13638|AT1B2_RAT,1.16,19,6,6,Carbamidomethylation,3.11E7,2.03E7,1.21:0.79,3.11E7,2.03E7,1.21:0.79,33412,Sodium/potassium-transporting ATPase subunit beta-2 OS=Rattus norvegicus GN=Atp1b2 PE=2 SV=1
1270,783,Q6Y290|GOLI_RAT,1.16,5,1,1,Carbamidomethylation,1.84E6,6E5,1.51:0.49,1.84E6,6E5,1.51:0.49,46449,E3 ubiquitin-protein ligase RNF130 OS=Rattus norvegicus GN=Rnf130 PE=1 SV=1
671,337,tr|A0A0G2K6L6|A0A0G2K6L6_RAT,1.16,29,4,4,Carbamidomethylation,2.65E7,1.68E7,1.23:0.77,2.65E7,1.68E7,1.23:0.77,13377,Uncharacterized protein OS=Rattus norvegicus PE=3 SV=1
353,176,P62083|RS7_RAT,1.15,39,9,9,,8.5E7,5.49E7,1.22:0.78,8.5E7,5.49E7,1.22:0.78,22127,40S ribosomal protein S7 OS=Rattus norvegicus GN=Rps7 PE=1 SV=1
1114,21411,Q62634|VGLU1_RAT,1.15,2,1,1,Carbamidomethylation,2.02E6,6.64E5,1.51:0.49,2.02E6,6.64E5,1.51:0.49,61665,Vesicular glutamate transporter 1 OS=Rattus norvegicus GN=Slc17a7 PE=1 SV=1
129,213,tr|G3V667|G3V667_RAT,1.15,21,18,18,Carbamidomethylation,2.27E7,1.43E7,1.23:0.77,2.27E7,1.43E7,1.23:0.77,119479,Integrin  alpha 6  isoform CRA_a OS=Rattus norvegicus GN=Itga6 PE=1 SV=1
379,20901,tr|D3Z9L0|D3Z9L0_RAT,1.15,24,9,9,Carbamidomethylation,4.91E7,3.2E7,1.21:0.79,4.91E7,3.2E7,1.21:0.79,54259,Protein Agk OS=Rattus norvegicus GN=Agk PE=1 SV=2
308,41488,P31399|ATP5H_RAT,1.15,20,3,3,Carbamidomethylation,1.04E7,1.79E7,0.74:1.26,1.04E7,1.79E7,0.74:1.26,18763,ATP synthase subunit d  mitochondrial OS=Rattus norvegicus GN=Atp5h PE=1 SV=3
390,159,Q8K3V3|AGRG1_RAT,1.15,14,6,6,,5.82E7,3.54E7,1.24:0.76,5.82E7,3.54E7,1.24:0.76,77252,Adhesion G-protein coupled receptor G1 OS=Rattus norvegicus GN=Adgrg1 PE=1 SV=1
19,217,tr|F1LV44|F1LV44_RAT,1.15,19,38,33,Carbamidomethylation,4.45E7,2.88E7,1.21:0.79,4.45E7,2.88E7,1.21:0.79,283736,Protein Tenm3 OS=Rattus norvegicus GN=Tenm3 PE=4 SV=3
438,3328,Q03351|NTRK3_RAT,1.14,8,6,5,Carbamidomethylation,1.61E7,9.97E6,1.23:0.77,1.61E7,9.97E6,1.23:0.77,97064,NT-3 growth factor receptor OS=Rattus norvegicus GN=Ntrk3 PE=1 SV=2
688,41492,tr|D3ZHA1|D3ZHA1_RAT,1.14,8,3,3,Carbamidomethylation,2.05E6,3.37E6,0.76:1.24,2.05E6,3.37E6,0.76:1.24,47470,Protein B4gat1 OS=Rattus norvegicus GN=LOC100911750 PE=1 SV=1
389,20982,Q400C7|AMZ2_RAT,1.14,10,3,3,Carbamidomethylation,5.29E6,2.71E6,1.32:0.68,5.29E6,2.71E6,1.32:0.68,41379,Archaemetzincin-2 OS=Rattus norvegicus GN=Amz2 PE=2 SV=2
116,85,Q3KRE0|ATAD3_RAT,1.14,34,17,17,Carbamidomethylation,7.56E7,5.05E7,1.20:0.80,7.56E7,5.05E7,1.20:0.80,66759,ATPase family AAA domain-containing protein 3 OS=Rattus norvegicus GN=Atad3 PE=1 SV=1
398,3635,tr|D4A6G6|D4A6G6_RAT,1.13,44,8,8,,2.77E7,1.64E7,1.26:0.74,2.77E7,1.64E7,1.26:0.74,16118,Protein LOC100362339 OS=Rattus norvegicus GN=LOC100362339 PE=4 SV=1
1371,23452,Q63313|LBP_RAT,1.12,3,1,1,,5.48E6,1.12E7,0.66:1.34,5.48E6,1.12E7,0.66:1.34,53600,Lipopolysaccharide-binding protein OS=Rattus norvegicus GN=Lbp PE=2 SV=1
1263,22582,Q5U2N3|PITM1_RAT,1.12,1,1,1,,8.3E5,2.79E5,1.50:0.50,8.3E5,2.79E5,1.50:0.50,134984,Membrane-associated phosphatidylinositol transfer protein 1 OS=Rattus norvegicus GN=Pitpnm1 PE=1 SV=1
849,2659,tr|D3ZQN7|D3ZQN7_RAT,1.12,1,2,2,,2.08E6,1E6,1.35:0.65,2.08E6,1E6,1.35:0.65,197391,Protein Lamb1 OS=Rattus norvegicus GN=Lamb1 PE=1 SV=3
793,14548,Q6MG55|ABHGA_RAT,1.12,6,4,3,Carbamidomethylation,1.62E6,9.87E5,1.24:0.76,1.62E6,9.87E5,1.24:0.76,63038,Protein ABHD16A OS=Rattus norvegicus GN=Abhd16a PE=2 SV=1
1023,21606,Q587K4|LRC73_RAT,1.11,4,1,1,,2.47E6,8.42E5,1.49:0.51,2.47E6,8.42E5,1.49:0.51,33377,Leucine-rich repeat-containing protein 73 OS=Rattus norvegicus GN=Lrrc73 PE=2 SV=1
104,69,Q99376|TFR1_RAT,1.11,34,20,19,Carbamidomethylation,7.43E7,4.79E7,1.22:0.78,7.43E7,4.79E7,1.22:0.78,70153,Transferrin receptor protein 1 (Fragment) OS=Rattus norvegicus GN=Tfrc PE=2 SV=1
529,21009,Q9Z0J8|NEGR1_RAT,1.10,15,5,5,Carbamidomethylation,1.75E7,1.04E7,1.25:0.75,1.75E7,1.04E7,1.25:0.75,37858,Neuronal growth regulator 1 OS=Rattus norvegicus GN=Negr1 PE=1 SV=1
1137,21309,Q5FVM1|TM231_RAT,1.09,4,1,1,,1.07E6,3.71E5,1.49:0.51,1.07E6,3.71E5,1.49:0.51,36170,Transmembrane protein 231 OS=Rattus norvegicus GN=Tmem231 PE=2 SV=2
877,21179,Q5PQV5|TPBG_RAT,1.09,3,1,1,,3.23E6,1.13E6,1.48:0.52,3.23E6,1.13E6,1.48:0.52,46508,Trophoblast glycoprotein OS=Rattus norvegicus GN=Tpbg PE=1 SV=1
146,186,P19491|GRIA2_RAT,1.08,21,15,12,Carbamidomethylation,2.45E7,1.47E7,1.25:0.75,2.45E7,1.47E7,1.25:0.75,98688,Glutamate receptor 2 OS=Rattus norvegicus GN=Gria2 PE=1 SV=2
188,20890,P54290|CA2D1_RAT,1.08,12,12,12,Carbamidomethylation,1.81E7,1.17E7,1.21:0.79,1.81E7,1.17E7,1.21:0.79,123823,Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Rattus norvegicus GN=Cacna2d1 PE=1 SV=1
1302,1907,P51907|EAA3_RAT,1.07,3,1,1,,1.11E7,3.94E6,1.48:0.52,1.11E7,3.94E6,1.48:0.52,56772,Excitatory amino acid transporter 3 OS=Rattus norvegicus GN=Slc1a1 PE=1 SV=1
577,2367,P85834|EFTU_RAT,1.06,7,2,2,,7.92E6,4E6,1.33:0.67,7.92E6,4E6,1.33:0.67,49522,Elongation factor Tu  mitochondrial OS=Rattus norvegicus GN=Tufm PE=1 SV=1
1227,21555,Q66H50|FACR1_RAT,1.06,5,2,2,,4.48E6,2.23E6,1.34:0.66,4.48E6,2.23E6,1.34:0.66,59268,Fatty acyl-CoA reductase 1 OS=Rattus norvegicus GN=Far1 PE=2 SV=1
908,21250,D3ZAL8|LRRT3_RAT,1.05,5,2,2,Carbamidomethylation,2.67E6,1.61E6,1.25:0.75,2.67E6,1.61E6,1.25:0.75,66030,Leucine-rich repeat transmembrane neuronal protein 3 OS=Rattus norvegicus GN=Lrrtm3 PE=3 SV=1
578,5295,tr|A0A0G2K1Q8|A0A0G2K1Q8_RAT,1.05,2,3,3,,4.06E6,2.43E6,1.25:0.75,4.06E6,2.43E6,1.25:0.75,191766,Protein Abca3 OS=Rattus norvegicus GN=Abca3 PE=1 SV=1
989,14041,Q2TA68|OPA1_RAT,1.04,1,1,1,,9.21E5,3.31E5,1.47:0.53,9.21E5,3.31E5,1.47:0.53,111307,Dynamin-like 120 kDa protein  mitochondrial OS=Rattus norvegicus GN=Opa1 PE=1 SV=1
484,1339,Q63312|PHLB1_RAT,1.04,10,6,6,Carbamidomethylation,9.02E6,5.82E6,1.22:0.78,9.02E6,5.82E6,1.22:0.78,93541,Pleckstrin homology-like domain family B member 1 (Fragment) OS=Rattus norvegicus GN=Phldb1 PE=1 SV=2
229,3645,O08835|SYT11_RAT,1.03,21,7,7,Carbamidomethylation,2.8E7,1.81E7,1.22:0.78,2.8E7,1.81E7,1.22:0.78,48268,Synaptotagmin-11 OS=Rattus norvegicus GN=Syt11 PE=2 SV=2
435,20885,P13086|SUCA_RAT,1.03,20,5,5,Carbamidomethylation,5.63E7,3.71E7,1.21:0.79,5.63E7,3.71E7,1.21:0.79,36148,Succinate--CoA ligase [ADP/GDP-forming] subunit alpha  mitochondrial OS=Rattus norvegicus GN=Suclg1 PE=2 SV=2
408,11019,P19511|AT5F1_RAT,1.03,29,8,8,Carbamidomethylation,9.89E7,6.65E7,1.20:0.80,9.89E7,6.65E7,1.20:0.80,28869,ATP synthase F(0) complex subunit B1  mitochondrial OS=Rattus norvegicus GN=Atp5f1 PE=1 SV=1
423,3461,tr|F1M5G8|F1M5G8_RAT,1.02,4,5,5,,1.07E7,6.94E6,1.21:0.79,1.07E7,6.94E6,1.21:0.79,198755,Protein Tmem131 OS=Rattus norvegicus GN=Tmem131 PE=1 SV=2
274,192,tr|A0A0G2K5L2|A0A0G2K5L2_RAT,1.01,37,11,11,Carbamidomethylation,1.13E8,7.46E7,1.20:0.80,1.13E8,7.46E7,1.20:0.80,34662,Protein LOC100911440 OS=Rattus norvegicus GN=LOC100911440 PE=1 SV=1
73,121,tr|Q63116|Q63116_RAT,1.01,30,25,23,Carbamidomethylation,4.81E7,8.53E7,0.72:1.28,4.81E7,8.53E7,0.72:1.28,109342,Tyrosine-protein kinase receptor OS=Rattus norvegicus GN=Kit PE=1 SV=1
1324,3170,tr|D3ZUE1|D3ZUE1_RAT,1.01,1,1,1,,1.28E7,4.79E6,1.46:0.54,1.28E7,4.79E6,1.46:0.54,94280,Protein Gas2l2 OS=Rattus norvegicus GN=Gas2l2 PE=4 SV=1
179,1037,Q9QUH6|SYGP1_RAT,1.01,15,15,13,Carbamidomethylation,1.34E7,8.82E6,1.21:0.79,1.34E7,8.82E6,1.21:0.79,144722,Ras/Rap GTPase-activating protein SynGAP OS=Rattus norvegicus GN=Syngap1 PE=1 SV=2
713,20995,tr|D3ZZK3|D3ZZK3_RAT,1.01,5,4,2,Carbamidomethylation,7.4E5,1.46E6,0.67:1.33,7.4E5,1.46E6,0.67:1.33,109838,Protein Epha4 OS=Rattus norvegicus GN=Epha4 PE=3 SV=1
461,194,tr|F1LMW0|F1LMW0_RAT,1.00,20,8,8,,1.56E7,1.03E7,1.21:0.79,1.56E7,1.03E7,1.21:0.79,47323,Protein Tmem130 OS=Rattus norvegicus GN=Tmem130 PE=4 SV=2
457,43,P04218|OX2G_RAT,1.00,26,8,8,Carbamidomethylation,5.6E8,3.9E8,1.18:0.82,5.6E8,3.9E8,1.18:0.82,31088,OX-2 membrane glycoprotein OS=Rattus norvegicus GN=Cd200 PE=2 SV=1
277,12075,A1L1I3|NUMBL_RAT,1.00,15,10,10,Carbamidomethylation,1.3E7,8.21E6,1.23:0.77,1.3E7,8.21E6,1.23:0.77,65513,Numb-like protein OS=Rattus norvegicus GN=Numbl PE=1 SV=1
534,20966,Q7TMB0|PLPR3_RAT,1.00,4,2,2,,5.37E6,3.37E6,1.23:0.77,5.37E6,3.37E6,1.23:0.77,76786,Phospholipid phosphatase-related protein type 3 OS=Rattus norvegicus GN=Plppr3 PE=2 SV=1
20,292,O88278|CELR3_RAT,1.00,14,34,34,Carbamidomethylation,3.13E7,2.09E7,1.20:0.80,3.13E7,2.09E7,1.20:0.80,359356,Cadherin EGF LAG seven-pass G-type receptor 3 OS=Rattus norvegicus GN=Celsr3 PE=1 SV=1
594,20911,Q8CGU6|NICA_RAT,1.00,5,4,4,,1.3E7,7.44E6,1.27:0.73,1.3E7,7.44E6,1.27:0.73,78400,Nicastrin OS=Rattus norvegicus GN=Ncstn PE=1 SV=1
1236,23033,O88884|AKAP1_RAT,0.99,1,1,1,,3.81E5,1.01E6,0.55:1.45,3.81E5,1.01E6,0.55:1.45,91747,A-kinase anchor protein 1  mitochondrial OS=Rattus norvegicus GN=Akap1 PE=1 SV=1
384,20958,Q6P7A9|LYAG_RAT,0.99,5,3,3,,1.78E7,1.23E7,1.18:0.82,1.78E7,1.23E7,1.18:0.82,106207,Lysosomal alpha-glucosidase OS=Rattus norvegicus GN=Gaa PE=2 SV=1
430,20907,O35276|NRP2_RAT,0.98,11,6,6,Carbamidomethylation,1.8E7,1.2E7,1.20:0.80,1.8E7,1.2E7,1.20:0.80,103897,Neuropilin-2 OS=Rattus norvegicus GN=Nrp2 PE=2 SV=1
